path,sample,cohort
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/metagenomics/1_raw_data/raw_data/usb2/result_X204SC20042033-Z01_total4/result_X204SC20042033-Z01-F031/00.RawData/MB04.B10/MB04.B10_350.raw.fq1.gz,MB04.B10,Illumina
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/BGI2_raw/MMHP_Tartu/MB04_B10/V350015279_L03_74_1.fq.gz,MB04_B10,BGI2
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/BGI2_raw/MMHP_Tartu/MB04_B10/V350015279_L04_74_1.fq.gz,MB04_B10,BGI2
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/BGI_cleaned/lab66_MB06_H2_E100013106_L01/filtered_nohost1.fq.gz,MB06,BGI1
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/metagenomics/1_raw_data/raw_data/usb1/result_X204SC20042033-Z01_total2/result_X204SC20042033-Z01-F046/00.RawData/MB06.H2/MB06.H2_350.raw.fq1.gz,MB06.H2,Illumina
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/BGI_cleaned/lab66_MB07_A5_E100015864_L01/filtered_nohost1.fq.gz,MB07,BGI1
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/metagenomics/1_raw_data/raw_data/usb1/result_X204SC20042033-Z01_total2/result_X204SC20042033-Z01-F017/00.RawData/MB07.A5/MB07.A5_350.raw.fq1.gz,MB07.A5,Illumina
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/BGI_cleaned/lab66_MB11_B1_E100012874_L01/filtered_nohost1.fq.gz,MB11,BGI1
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/metagenomics/1_raw_data/raw_data/usb2/result_X204SC20042033-Z01_total5/result_X204SC20042033-Z01-F032/00.RawData/MB11.B1/MB11.B1_350.raw.fq1.gz,MB11.B1,Illumina
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/metagenomics/1_raw_data/raw_data/usb2/result_X204SC20042033-Z01_total4/result_X204SC20042033-Z01-F038/00.RawData/MB14.G7/MB14.G7_350.raw.fq1.gz,MB14.G7,Illumina
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/BGI2_raw/MMHP_Tartu/MB14_G7/E100010953_L01_47_1.fq.gz,MB14_G7,BGI2
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/BGI2_raw/MMHP_Tartu/MB14_G7/V300082561_L03_47_1.fq.gz,MB14_G7,BGI2
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/BGI_cleaned/lab66_MB15_H4_E100010924_L01/filtered_nohost1.fq.gz,MB15,BGI1
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/metagenomics/1_raw_data/raw_data/usb2/result_X204SC20042033-Z01_total4/result_X204SC20042033-Z01-F039/00.RawData/MB15.H4/MB15.H4_350.raw.fq1.gz,MB15.H4,Illumina
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/BGI_cleaned/lab66_MB16_D11_E100013106_L01/filtered_nohost1.fq.gz,MB16,BGI1
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/metagenomics/1_raw_data/raw_data/usb1/result_X204SC20042033-Z01_total1/X204SC20042033-Z01-F014/00.RawData/MB16_D11/MB16_D11_350.raw.fq1.gz,MB16_D11,Illumina
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/metagenomics/1_raw_data/raw_data/usb1/result_X204SC20042033-Z01_total1/X204SC20042033-Z01-F005/00.RawData/MB17_F6/MB17_F6_350.raw.fq1.gz,MB17_F6,Illumina
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/BGI_cleaned/lab66_MB20_E6_E100013465_L01/filtered_nohost1.fq.gz,MB20,BGI1
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/metagenomics/1_raw_data/raw_data/usb1/result_X204SC20042033-Z01_total3/result_X204SC20042033-Z01-F023/00.RawData/MB20.E6/MB20.E6_350.raw.fq1.gz,MB20.E6,Illumina
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/BGI_cleaned/lab66_MB22_E10_E100016770_L01/filtered_nohost1.fq.gz,MB22,BGI1
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/metagenomics/1_raw_data/raw_data/usb2/result_X204SC20042033-Z01_total5/result_X204SC20042033-Z01-F052/00.RawData/MB22.E10/MB22.E10_350.raw.fq1.gz,MB22.E10,Illumina
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/BGI_cleaned/lab66_MB24_F10_E100013421_L01/filtered_nohost1.fq.gz,MB24,BGI1
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/BGI_cleaned/lab66_MB24_C10_E100009678_L01/filtered_nohost1.fq.gz,MB24,BGI1
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/metagenomics/1_raw_data/raw_data/usb2/result_X204SC20042033-Z01_total5/result_X204SC20042033-Z01-F051/00.RawData/MB24.C10/MB24.C10_350.raw.fq1.gz,MB24.C10,Illumina
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/metagenomics/1_raw_data/raw_data/usb2/result_X204SC20042033-Z01_total5/result_X204SC20042033-Z01-F051/00.RawData/MB24.F10/MB24.F10_350.raw.fq1.gz,MB24.F10,Illumina
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/BGI_cleaned/lab66_MB26_H4_E100013124_L01/filtered_nohost1.fq.gz,MB26,BGI1
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/metagenomics/1_raw_data/raw_data/usb2/result_X204SC20042033-Z01_total5/result_X204SC20042033-Z01-F050/00.RawData/MB26_H4/MB26_H4_350.raw.fq1.gz,MB26_H4,Illumina
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/metagenomics/1_raw_data/raw_data/usb2/result_X204SC20042033-Z01_total5/result_X204SC20042033-Z01-F049/00.RawData/MB27.B4/MB27.B4_350.raw.fq1.gz,MB27.B4,Illumina
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/BGI_cleaned/lab66_V00H9L_E100013118_L01/filtered_nohost1.fq.gz,V00H9L,BGI1
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/metagenomics/1_raw_data/raw_data/usb1/result_X204SC20042033-Z01_total1/X204SC20042033-Z01-F006/00.RawData/V00H9L/V00H9L_350.raw.fq1.gz,V00H9L,Illumina
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/BGI_cleaned/lab66_V010T4_E100016707_L01/filtered_nohost1.fq.gz,V010T4,BGI1
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/metagenomics/1_raw_data/raw_data/usb2/result_X204SC20042033-Z01_total5/result_X204SC20042033-Z01-F045/00.RawData/V010T4/V010T4_350.raw.fq1.gz,V010T4,Illumina
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/metagenomics/1_raw_data/raw_data/usb2/result_X204SC20042033-Z01_total5/result_X204SC20042033-Z01-F053/00.RawData/V03HFT/V03HFT_350.raw.fq1.gz,V03HFT,Illumina
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/BGI_cleaned/lab66_V03HFT_E100009678_L01/filtered_nohost1.fq.gz,V03HFT,BGI1
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/metagenomics/1_raw_data/raw_data/usb2/result_X204SC20042033-Z01_total5/result_X204SC20042033-Z01-F050/00.RawData/V03ZU2/V03ZU2_350.raw.fq1.gz,V03ZU2,Illumina
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/BGI_cleaned/lab66_V03ZU2_E100013421_L01/filtered_nohost1.fq.gz,V03ZU2,BGI1
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/metagenomics/1_raw_data/raw_data/usb2/result_X204SC20042033-Z01_total5/result_X204SC20042033-Z01-F045/00.RawData/V0404P/V0404P_350.raw.fq1.gz,V0404P,Illumina
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/BGI_cleaned/lab66_V0404P_E100013117_L01/filtered_nohost1.fq.gz,V0404P,BGI1
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/metagenomics/1_raw_data/raw_data/usb2/result_X204SC20042033-Z01_total4/result_X204SC20042033-Z01-F039/00.RawData/V045JG/V045JG_350.raw.fq1.gz,V045JG,Illumina
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/BGI_cleaned/lab66_V045JG_E100013124_L01/filtered_nohost1.fq.gz,V045JG,BGI1
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/metagenomics/1_raw_data/raw_data/usb2/result_X204SC20042033-Z01_total5/result_X204SC20042033-Z01-F052/00.RawData/V04J9U/V04J9U_350.raw.fq1.gz,V04J9U,Illumina
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/BGI_cleaned/lab66_V04J9U_E100013135_L01/filtered_nohost1.fq.gz,V04J9U,BGI1
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/BGI_cleaned/lab66_V04PTT_E100013104_L01/filtered_nohost1.fq.gz,V04PTT,BGI1
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/metagenomics/1_raw_data/raw_data/usb1/result_X204SC20042033-Z01_total1/X204SC20042033-Z01-F009/00.RawData/V04PTT/V04PTT_350.raw.fq1.gz,V04PTT,Illumina
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/metagenomics/1_raw_data/raw_data/usb1/result_X204SC20042033-Z01_total3/result_X204SC20042033-Z01-F023/00.RawData/V04T99/V04T99_350.raw.fq1.gz,V04T99,Illumina
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/BGI_cleaned/lab66_V04YHL_E100013106_L01/filtered_nohost1.fq.gz,V04YHL,BGI1
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/metagenomics/1_raw_data/raw_data/usb1/result_X204SC20042033-Z01_total3/result_X204SC20042033-Z01-F022/00.RawData/V04YHL/V04YHL_350.raw.fq1.gz,V04YHL,Illumina
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/metagenomics/1_raw_data/raw_data/usb2/result_X204SC20042033-Z01_total5/result_X204SC20042033-Z01-F045/00.RawData/V05N83/V05N83_350.raw.fq1.gz,V05N83,Illumina
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/BGI2_raw/MMHP_Tartu/V05N83/V300082575_L03_124_1.fq.gz,V05N83,BGI2
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/BGI2_raw/MMHP_Tartu/V05N83/V300082575_L04_124_1.fq.gz,V05N83,BGI2
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/BGI_cleaned/lab66_V05U4U_E100013189_L01/filtered_nohost1.fq.gz,V05U4U,BGI1
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/metagenomics/1_raw_data/raw_data/usb2/result_X204SC20042033-Z01_total5/result_X204SC20042033-Z01-F052/00.RawData/V05U4U/V05U4U_350.raw.fq1.gz,V05U4U,Illumina
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/metagenomics/1_raw_data/raw_data/usb1/result_X204SC20042033-Z01_total3/result_X204SC20042033-Z01-F028/00.RawData/V06KB2/V06KB2_350.raw.fq1.gz,V06KB2,Illumina
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/BGI_cleaned/lab66_V06KB2_E100013104_L01/filtered_nohost1.fq.gz,V06KB2,BGI1
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/BGI_cleaned/lab66_V06KFU_E100013458_L01/filtered_nohost1.fq.gz,V06KFU,BGI1
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/metagenomics/1_raw_data/raw_data/usb1/result_X204SC20042033-Z01_total3/result_X204SC20042033-Z01-F028/00.RawData/V06KFU/V06KFU_350.raw.fq1.gz,V06KFU,Illumina
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/metagenomics/1_raw_data/raw_data/usb1/result_X204SC20042033-Z01_total2/result_X204SC20042033-Z01-F021/00.RawData/V06SEH/V06SEH_350.raw.fq1.gz,V06SEH,Illumina
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/BGI_cleaned/lab66_V06SEH_E100016707_L01/filtered_nohost1.fq.gz,V06SEH,BGI1
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/metagenomics/1_raw_data/raw_data/usb2/result_X204SC20042033-Z01_total5/result_X204SC20042033-Z01-F032/00.RawData/V06XLS/V06XLS_350.raw.fq1.gz,V06XLS,Illumina
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/metagenomics/1_raw_data/raw_data/usb1/result_X204SC20042033-Z01_total3/result_X204SC20042033-Z01-F023/00.RawData/V07OTC/V07OTC_350.raw.fq1.gz,V07OTC,Illumina
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/BGI_cleaned/lab66_V0874O_E100007551_L01/filtered_nohost1.fq.gz,V0874O,BGI1
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/metagenomics/1_raw_data/raw_data/usb1/result_X204SC20042033-Z01_total3/result_X204SC20042033-Z01-F023/00.RawData/V0874O/V0874O_350.raw.fq1.gz,V0874O,Illumina
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/metagenomics/1_raw_data/raw_data/usb1/result_X204SC20042033-Z01_total3/result_X204SC20042033-Z01-F027/00.RawData/V08XFS/V08XFS_350.raw.fq1.gz,V08XFS,Illumina
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/BGI_cleaned/lab66_V08XFS_E100009772A_L01/filtered_nohost1.fq.gz,V08XFS,BGI1
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/BGI2_raw/MMHP_Tartu/V09EVV/E100013128_L01_37_1.fq.gz,V09EVV,BGI2
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/BGI2_raw/MMHP_Tartu/V09EVV/V300082560_L03_37_1.fq.gz,V09EVV,BGI2
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/metagenomics/1_raw_data/raw_data/usb2/result_X204SC20042033-Z01_total5/result_X204SC20042033-Z01-F032/00.RawData/V09EVV/V09EVV_350.raw.fq1.gz,V09EVV,Illumina
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/BGI_cleaned/lab66_V0AID4_E100016707_L01/filtered_nohost1.fq.gz,V0AID4,BGI1
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/metagenomics/1_raw_data/raw_data/usb1/result_X204SC20042033-Z01_total2/result_X204SC20042033-Z01-F017/00.RawData/V0AID4/V0AID4_350.raw.fq1.gz,V0AID4,Illumina
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/metagenomics/1_raw_data/raw_data/usb1/result_X204SC20042033-Z01_total2/result_X204SC20042033-Z01-F017/00.RawData/V0AMNJ/V0AMNJ_350.raw.fq1.gz,V0AMNJ,Illumina
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/BGI_cleaned/lab66_V0AMNJ_E100009887_L01/filtered_nohost1.fq.gz,V0AMNJ,BGI1
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/metagenomics/1_raw_data/raw_data/usb2/result_X204SC20042033-Z01_total5/result_X204SC20042033-Z01-F053/00.RawData/V0APMK/V0APMK_350.raw.fq1.gz,V0APMK,Illumina
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/BGI_cleaned/lab66_V0APMK_E100010235_L01/filtered_nohost1.fq.gz,V0APMK,BGI1
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/metagenomics/1_raw_data/raw_data/usb1/result_X204SC20042033-Z01_total1/X204SC20042033-Z01-F008/00.RawData/V0BI0R/V0BI0R_350.raw.fq1.gz,V0BI0R,Illumina
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/BGI_cleaned/lab66_V0BI0R_E100009887_L01/filtered_nohost1.fq.gz,V0BI0R,BGI1
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/BGI_cleaned/lab66_V0BVU1_E100013128_L01/filtered_nohost1.fq.gz,V0BVU1,BGI1
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/metagenomics/1_raw_data/raw_data/usb1/result_X204SC20042033-Z01_total2/result_X204SC20042033-Z01-F020/00.RawData/V0BVU1/V0BVU1_350.raw.fq1.gz,V0BVU1,Illumina
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/metagenomics/1_raw_data/raw_data/usb2/result_X204SC20042033-Z01_total5/result_X204SC20042033-Z01-F036/00.RawData/V0CCJD/V0CCJD_350.raw.fq1.gz,V0CCJD,Illumina
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/metagenomics/1_raw_data/raw_data/usb2/result_X204SC20042033-Z01_total5/result_X204SC20042033-Z01-F049/00.RawData/V0CQP6/V0CQP6_350.raw.fq1.gz,V0CQP6,Illumina
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/BGI_cleaned/lab66_V0CQP6_E100009727_L01/filtered_nohost1.fq.gz,V0CQP6,BGI1
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/metagenomics/1_raw_data/raw_data/usb1/result_X204SC20042033-Z01_total1/X204SC20042033-Z01-F003/00.RawData/V0D5WV/V0D5WV_350.raw.fq1.gz,V0D5WV,Illumina
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/BGI_cleaned/lab66_V0D5WV_E100013117_L01/filtered_nohost1.fq.gz,V0D5WV,BGI1
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/metagenomics/1_raw_data/raw_data/usb1/result_X204SC20042033-Z01_total2/result_X204SC20042033-Z01-F017/00.RawData/V0DKRO/V0DKRO_350.raw.fq1.gz,V0DKRO,Illumina
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/BGI_cleaned/lab66_V0DKRO_E100013458_L01/filtered_nohost1.fq.gz,V0DKRO,BGI1
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/metagenomics/1_raw_data/raw_data/usb2/result_X204SC20042033-Z01_total5/result_X204SC20042033-Z01-F033/00.RawData/V0ETQ8/V0ETQ8_350.raw.fq1.gz,V0ETQ8,Illumina
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/BGI_cleaned/lab66_V0ETQ8_E100009727_L01/filtered_nohost1.fq.gz,V0ETQ8,BGI1
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/BGI_cleaned/lab66_V0F9CA_E100009727_L01/filtered_nohost1.fq.gz,V0F9CA,BGI1
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/metagenomics/1_raw_data/raw_data/usb1/result_X204SC20042033-Z01_total2/result_X204SC20042033-Z01-F020/00.RawData/V0F9CA/V0F9CA_350.raw.fq1.gz,V0F9CA,Illumina
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/metagenomics/1_raw_data/raw_data/usb1/result_X204SC20042033-Z01_total3/result_X204SC20042033-Z01-F023/00.RawData/V0GQSY/V0GQSY_350.raw.fq1.gz,V0GQSY,Illumina
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/metagenomics/1_raw_data/raw_data/usb1/result_X204SC20042033-Z01_total1/X204SC20042033-Z01-F014/00.RawData/V0IQLM/V0IQLM_350.raw.fq1.gz,V0IQLM,Illumina
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/BGI_cleaned/lab66_V0IQLM_E100013458_L01/filtered_nohost1.fq.gz,V0IQLM,BGI1
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/BGI_cleaned/lab66_V0IY5L_E100010235_L01/filtered_nohost1.fq.gz,V0IY5L,BGI1
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/metagenomics/1_raw_data/raw_data/usb1/result_X204SC20042033-Z01_total1/X204SC20042033-Z01-F006/00.RawData/V0IY5L/V0IY5L_350.raw.fq1.gz,V0IY5L,Illumina
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/metagenomics/1_raw_data/raw_data/usb2/result_X204SC20042033-Z01_total5/result_X204SC20042033-Z01-F034/00.RawData/V0KIGX/V0KIGX_350.raw.fq1.gz,V0KIGX,Illumina
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/BGI_cleaned/lab66_V0L3ZF_E100010953_L01/filtered_nohost1.fq.gz,V0L3ZF,BGI1
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/metagenomics/1_raw_data/raw_data/usb1/result_X204SC20042033-Z01_total1/X204SC20042033-Z01-F005/00.RawData/V0L3ZF/V0L3ZF_350.raw.fq1.gz,V0L3ZF,Illumina
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/metagenomics/1_raw_data/raw_data/usb2/result_X204SC20042033-Z01_total4/result_X204SC20042033-Z01-F029/00.RawData/V0L9VT/V0L9VT_350.raw.fq1.gz,V0L9VT,Illumina
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/BGI_cleaned/lab66_V0L9VT_E100013100_L01/filtered_nohost1.fq.gz,V0L9VT,BGI1
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/metagenomics/1_raw_data/raw_data/usb1/result_X204SC20042033-Z01_total2/result_X204SC20042033-Z01-F020/00.RawData/V0LIS3/V0LIS3_350.raw.fq1.gz,V0LIS3,Illumina
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/BGI_cleaned/lab66_V0LIS3_E100015864_L01/filtered_nohost1.fq.gz,V0LIS3,BGI1
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/BGI2_raw/MMHP_Tartu/V0LQ4N/E100033305_L01_58_1.fq.gz,V0LQ4N,BGI2
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/metagenomics/1_raw_data/raw_data/usb1/result_X204SC20042033-Z01_total2/result_X204SC20042033-Z01-F046/00.RawData/V0LQ4N/V0LQ4N_350.raw.fq1.gz,V0LQ4N,Illumina
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/metagenomics/1_raw_data/raw_data/usb2/result_X204SC20042033-Z01_total5/result_X204SC20042033-Z01-F049/00.RawData/V0MDAH/V0MDAH_350.raw.fq1.gz,V0MDAH,Illumina
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/BGI_cleaned/lab66_V0N1JE_E100013458_L01/filtered_nohost1.fq.gz,V0N1JE,BGI1
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/metagenomics/1_raw_data/raw_data/usb1/result_X204SC20042033-Z01_total3/result_X204SC20042033-Z01-F027/00.RawData/V0N1JE/V0N1JE_350.raw.fq1.gz,V0N1JE,Illumina
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/metagenomics/1_raw_data/raw_data/usb2/result_X204SC20042033-Z01_total4/result_X204SC20042033-Z01-F038/00.RawData/V0O0SI/V0O0SI_350.raw.fq1.gz,V0O0SI,Illumina
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/BGI_cleaned/lab66_V0O0SI_E100013465_L01/filtered_nohost1.fq.gz,V0O0SI,BGI1
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/BGI_cleaned/lab66_V0O2SL_E100013108_L01/filtered_nohost1.fq.gz,V0O2SL,BGI1
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/metagenomics/1_raw_data/raw_data/usb1/result_X204SC20042033-Z01_total2/result_X204SC20042033-Z01-F017/00.RawData/V0O2SL/V0O2SL_350.raw.fq1.gz,V0O2SL,Illumina
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/BGI_cleaned/lab66_V0OK4P_E100013118_L01/filtered_nohost1.fq.gz,V0OK4P,BGI1
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/metagenomics/1_raw_data/raw_data/usb1/result_X204SC20042033-Z01_total1/X204SC20042033-Z01-F002/00.RawData/V0OK4P/V0OK4P_350.raw.fq1.gz,V0OK4P,Illumina
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/BGI_cleaned/lab66_V0OQ7E_E100010235_L01/filtered_nohost1.fq.gz,V0OQ7E,BGI1
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/metagenomics/1_raw_data/raw_data/usb1/result_X204SC20042033-Z01_total1/X204SC20042033-Z01-F003/00.RawData/V0OQ7E/V0OQ7E_350.raw.fq1.gz,V0OQ7E,Illumina
/gpfs/space/GI/GV/EGCUT_data/omics_data/microbiomics/metagenomics/1_raw_data/raw_data/usb2/result_X204SC20042033-Z01_total5/result_X204SC20042033-Z01-F052/00.RawData/V0RBC8/V0RBC8_350.raw.fq1.gz,V0RBC8,Illumina
